Position,Lat,Lon
6002S4620W,-60.02,-46.20
6007S4645W,-60.07,-46.45
6005S4646W,-60.05,-46.46
6006S4654W,-60.06,-46.54
6043S4533W,-60.43,-45.33
6007S4547W,-60.07,-45.47
6004S4637W,-60.04,-46.37
6006S4622W,-60.06,-46.22
6004S4652W,-60.04,-46.52
6000S4531W,-60.00,-45.31
6005S4653W,-60.05,-46.53
6013S4635W,-60.13,-46.35
6005S4641W,-60.05,-46.41
6018S4621W,-60.18,-46.21
6008S4711W,-60.08,-47.11
6014S4636W,-60.14,-46.36
6008S4639W,-60.08,-46.39
6007S4716W,-60.07,-47.16
6003S4635W,-60.03,-46.35
6034S4514W,-60.34,-45.14
6004S4650W,-60.04,-46.50
6015S4616W,-60.15,-46.16
6008S4648W,-60.08,-46.48
603S4543W,-60.3S,-45.43
6018S4611W,-60.18,-46.11
6011S4544W,-60.11,-45.44
6001S4637W,-60.01,-46.37
6018S467W,-60.18,-46.7W
6010S4634W,-60.10,-46.34
6006S4735W,-60.06,-47.35
6012S4634W,-60.12,-46.34
6002S4650W,-60.02,-46.50
6006S4640W,-60.06,-46.40
6006S4623W,-60.06,-46.23
605S4549W,-60.5S,-45.49
6005S4715W,-60.05,-47.15
6008S4649W,-60.08,-46.49
6011S4546W,-60.11,-45.46
6010S4620W,-60.10,-46.20
6300S5840W,-63.00,-58.40
6025S4609W,-60.25,-46.09
5344S3553W,-53.44,-35.53
6022S4615W,-60.22,-46.15
5402S3541W,-54.02,-35.41
6028S4630W,-60.28,-46.30
6024S4607W,-60.24,-46.07
6023S4601W,-60.23,-46.01
6428S6140W,-64.28,-61.40
6419S6147W,-64.19,-61.47
6259S5754W,-62.59,-57.54
5336S3557W,-53.36,-35.57
6022S4600W,-60.22,-46.00
6032S4511W,-60.32,-45.11
6039S4446W,-60.39,-44.46
6356S6032W,-63.56,-60.32
6022S4554W,-60.22,-45.54
6021S4614W,-60.21,-46.14
6426S6143W,-64.26,-61.43
6334S5938W,-63.34,-59.38
5341S3714W,-53.41,-37.14
5350S3620W,-53.50,-36.20
5412S3540W,-54.12,-35.40
6020S4603W,-60.20,-46.03
6031S4633W,-60.31,-46.33
6023S4631W,-60.23,-46.31
6023S46W08,-60.23,-46.W0
6418S6114W,-64.18,-61.14
6414S6103W,-64.14,-61.03
5401S3553W,-54.01,-35.53
6024S4547W,-60.24,-45.47
6021S4632W,-60.21,-46.32
6020S4553W,-60.20,-45.53
6027S4602W,-60.27,-46.02
631680S602070W,-63.16,-60.20
5413S3631W,-54.13,-36.31
6349S6125W,-63.49,-61.25
5354S3603W,-53.54,-36.03
5424S3518W,-54.24,-35.18
6020S4707W,-60.20,-47.07
6021S4558W,-60.21,-45.58
6018S4518W,-60.18,-45.18
6019S4632W,-60.19,-46.32
6017S4635W,-60.17,-46.35
6020S4626W,-60.20,-46.26
5409S3536W,-54.09,-35.36
6259S5756W,-62.59,-57.56
6259S5754W,-62.59,-57.54
6031S4519W,-60.31,-45.19
6025S4603W,-60.25,-46.03
6346S5939W,-63.46,-59.39
6019S4625W,-60.19,-46.25
6322S5909W,-63.22,-59.09
6311S5910W,-63.11,-59.10
5412S3542W,-54.12,-35.42
5358S3542W,-53.58,-35.42
6027S4552W,-60.27,-45.52
6037S4510W,-60.37,-45.10
6307S5819W,-63.07,-58.19
6025S4600W,-60.25,-46.00
6024S4549W,-60.24,-45.49
6023S4604W,-60.23,-46.04
6430S6139W,-64.30,-61.39
6302S5858W,-63.02,-58.58
6025S4536W,-60.25,-45.36
6258S5806W,-62.58,-58.06
6420S6141W,-64.20,-61.41
6021S4637W,-60.21,-46.37
6020S4605W,-60.20,-46.05
6025S 4624W,-60.25,- 4.62
6025S4649W,-60.25,-46.49
6022S4627W,-60.22,-46.27
6026S4609W,-60.26,-46.09
6021S4631W,-60.21,-46.31
631300S602680W,-63.13,-60.26
6419S6129W,-64.19,-61.29
6420S6115W,-64.20,-61.15
6414S6113W,-64.14,-61.13
5356S3552W,-53.56,-35.52
6023S4610W,-60.23,-46.10
6020S4626W,-60.20,-46.26
6025S4602W,-60.25,-46.02
6304S5852W,-63.04,-58.52
6016S4546W,-60.16,-45.46
6022S46W19,-60.22,-46.W1
6420S6112W,-64.20,-61.12
6416S6108W,-64.16,-61.08
5943S4507W,-59.43,-45.07
6259S5756W,-62.59,-57.56
5349S3612W,-53.49,-36.12
5410S3541W,-54.10,-35.41
6025S4612W,-60.25,-46.12
6032S4511W,-60.32,-45.11
6314S5906W,-63.14,-59.06
6339S5938W,-63.39,-59.38
5916S4318W,-59.16,-43.18
6428S6137W,-64.28,-61.37
5418S3534W,-54.18,-35.34
5349S3611W,-53.49,-36.11
5349S3613W,-53.49,-36.13
5417S3539W,-54.17,-35.39
5350S3537W,-53.50,-35.37
6250S5729W,-62.50,-57.29
6020S4606W,-60.20,-46.06
6307S5845W,-63.07,-58.45
6020S4636W,-60.20,-46.36
6301S5832W,-63.01,-58.32
6025S4600W,-60.25,-46.00
5354S3558W,-53.54,-35.58
5328S3605W,-53.28,-36.05
5350S3604W,-53.50,-36.04
5336S3709W,-53.36,-37.09
6316S5905W,-63.16,-59.05
6302S5846W,-63.02,-58.46
6023S4628W,-60.23,-46.28
6021S4557W,-60.21,-45.57
6021S4623W,-60.21,-46.23
6010S4628W,-60.10,-46.28
6422S6114W,-64.22,-61.14
5354S3554W,-53.54,-35.54
5301S3541W,-53.01,-35.41
6020S4707W,-60.20,-47.07
6013S4705W,-60.13,-47.05
,-.,#VALUE!
,-.,#VALUE!
6025S4608W,-60.25,-46.08
6027S4601W,-60.27,-46.01
6023S4604W,-60.23,-46.04
6022S4612W,-60.22,-46.12
6023S4618W,-60.23,-46.18
6302S5850W,-63.02,-58.50
6020S4559W,-60.20,-45.59
6031S4510W,-60.31,-45.10
5405S3547W,-54.05,-35.47
5400S3554W,-54.00,-35.54
6345S5941W,-63.45,-59.41
6252S5726W,-62.52,-57.26
6023S4550W,-60.23,-45.50
6426S6141W,-64.26,-61.41
5410S3540W,-54.10,-35.40
5341S3714W,-53.41,-37.14
5350S3613W,-53.50,-36.13
5354S3545W,-53.54,-35.45
